,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
305835,MA0101202309A0080757,헬로제니,,P1,교육,P107,교육 지원,P10799,기타 교육지원 서비스업,P85709,기타 교육지원 서비스업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101560002,1,대지,156,2.0,서울특별시 마포구 동교동 156-2,114403113014,서울특별시 마포구 양화로,175.0,,1144012100101560002022656,마젤란21오피스텔,서울특별시 마포구 양화로 175,121816,3994,,,,126.924349898273,37.5577491983899
306815,MA010120220805728077,건축사사무소에스이이케이,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470021,1,대지,347,21.0,서울특별시 마포구 서교동 347-21,114403113015,서울특별시 마포구 어울마당로,130.0,,1144012000103470021024741,기린빌딩,서울특별시 마포구 어울마당로 130,121837,4053,,3,,126.924502352231,37.5558043432705
306997,MA010120220805893823,인사이트에듀케이션,,P1,교육,P107,교육 지원,P10799,기타 교육지원 서비스업,P85709,기타 교육지원 서비스업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101590005,1,대지,159,5.0,서울특별시 마포구 동교동 159-5,114403113014,서울특별시 마포구 양화로,161.0,,1144012100101590005011731,케이스퀘어,서울특별시 마포구 양화로 161,121898,3995,,7,,126.923297793953,37.5569286733792
307573,MA010120220806348147,라플라스파트너스,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101590005,1,대지,159,5.0,서울특별시 마포구 동교동 159-5,114403113014,서울특별시 마포구 양화로,161.0,,1144012100101590005011731,케이스퀘어,서울특별시 마포구 양화로 161,121898,3995,,,,126.923297793953,37.5569286733792
307747,MA010120220806403347,오필업크리에이트,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470021,1,대지,347,21.0,서울특별시 마포구 서교동 347-21,114403113015,서울특별시 마포구 어울마당로,130.0,,1144012000103470021024741,기린빌딩,서울특별시 마포구 어울마당로 130,121837,4053,,3,,126.924502352231,37.5558043432705
308006,MA010120220806463532,케이투글로벌트래블,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,N75210,여행사업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650008,1,대지,165,8.0,서울특별시 마포구 동교동 165-8,114403113014,서울특별시 마포구 양화로,156.0,,1144012100101650008027133,LG팰리스빌딩,서울특별시 마포구 양화로 156,121754,4050,,,,126.923434201278,37.5561009615472
308633,MA010120220806649811,포토망고,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101560002,1,대지,156,2.0,서울특별시 마포구 동교동 156-2,114403113014,서울특별시 마포구 양화로,175.0,,1144012100101560002022656,마젤란21오피스텔,서울특별시 마포구 양화로 175,121816,3994,,8,,126.924349898273,37.5577491983899
309227,MA010120220806801076,치킨뱅이,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101640010,1,대지,164,10.0,서울특별시 마포구 동교동 164-10,114403113015,서울특별시 마포구 어울마당로,127.0,,1144012100101640010011773,,서울특별시 마포구 어울마당로 127,121817,4050,,1,,126.923969314181,37.5558805799628
309285,MA010120220806816116,크루쉽,,P1,교육,P106,기타 교육,P10629,그 외 기타 교육기관,P85699,그 외 기타 분류 안된 교육기관,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102010010,1,대지,201,10.0,서울특별시 마포구 동교동 201-10,114404139111,서울특별시 마포구 동교로25길,7.0,,1144012100102010010012082,,서울특별시 마포구 동교로25길 7,121819,3992,,3,,126.921897935185,37.5574655324656
309842,MA010120220806941385,화이트365,,S2,수리·개인,S209,세탁,S20901,세탁소,S96912,가정용 세탁업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101580006,1,대지,158,6.0,서울특별시 마포구 동교동 158-6,114404139529,서울특별시 마포구 월드컵북로2길,37.0,,1144012100101580006000001,,서울특별시 마포구 월드컵북로2길 37,121898,3995,,,,126.922596684065,37.5568862358952
310775,MA010120220807214451,뷰러플,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103460021,1,대지,346,21.0,서울특별시 마포구 서교동 346-21,114404139616,서울특별시 마포구 홍익로2길,43.0,,1144012000103460021026920,,서울특별시 마포구 홍익로2길 43,121837,4055,,2,,126.924541351213,37.5554532932849
310897,MA010120220807282448,헤어스튜디오봄,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101540012,1,대지,154,12.0,서울특별시 마포구 동교동 154-12,114404139529,서울특별시 마포구 월드컵북로2길,85.0,,1144012100101540012011694,삼통빌딩,서울특별시 마포구 월드컵북로2길 85,121816,3994,,2,,126.924521901391,37.5583814924332
312740,MA010120220808133140,에스준의원,,Q1,보건의료,Q102,의원,Q10204,피부/비뇨기과 의원,Q86201,일반의원,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102000030,1,대지,200,30.0,서울특별시 마포구 동교동 200-30,114403112014,서울특별시 마포구 동교로,191.0,,1144012100102000030024912,DBM빌딩,서울특별시 마포구 동교로 191,121819,3993,,,,126.922361010483,37.5575328328421
312779,MA010120220808300673,팔민물장어직판장,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56114,한식 해산물 요리 전문점,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101610015,1,대지,161,15.0,서울특별시 마포구 동교동 161-15,114404139529,서울특별시 마포구 월드컵북로2길,25.0,,1144012100101610015011747,한국심리상담연구소,서울특별시 마포구 월드컵북로2길 25,121898,3995,,2,,126.922082091076,37.556467061019
312852,MA010120220808382692,너섬디앤씨,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650008,1,대지,165,8.0,서울특별시 마포구 동교동 165-8,114403113014,서울특별시 마포구 양화로,156.0,,1144012100101650008027133,LG팰리스빌딩,서울특별시 마포구 양화로 156,121754,4050,,,,126.923434201278,37.5561009615472
313299,MA010120220808405595,네일디,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102010004,1,대지,201,4.0,서울특별시 마포구 동교동 201-4,114403112014,서울특별시 마포구 동교로,185.0,6.0,1144012100102010004129317,,서울특별시 마포구 동교로 185-6,121819,3992,,1,,126.921774879836,37.5573652944749
314347,MA010120220808720045,이삭필라테스,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101690017,1,대지,169,17.0,서울특별시 마포구 동교동 169-17,114404139424,서울특별시 마포구 양화로18안길,12.0,,1144012100101690017011821,,서울특별시 마포구 양화로18안길 12,121818,4051,,5,,126.925316159873,37.5566677407743
314379,MA010120220808734365,연세여우치과의원,,Q1,보건의료,Q102,의원,Q10210,치과의원,Q86202,치과의원,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101590001,1,대지,159,1.0,서울특별시 마포구 동교동 159-1,114403113014,서울특별시 마포구 양화로,165.0,,1144012100101590001011730,상진빌딩,서울특별시 마포구 양화로 165,121756,3995,,6,,126.923599454067,37.5572017356505
314550,MA010120220808709183,워드리스,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102000029,1,대지,200,29.0,서울특별시 마포구 동교동 200-29,114403112014,서울특별시 마포구 동교로,193.0,,1144012100102000029022034,동진빌딩,서울특별시 마포구 동교로 193,121819,3993,,7,,126.922517238605,37.5576874352908
314678,MA010120220808659778,지형세무회계사무소,,M1,과학·기술,M104,회계·세무,M10401,공인회계사,M71201,공인회계사업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470021,1,대지,347,21.0,서울특별시 마포구 서교동 347-21,114403113015,서울특별시 마포구 어울마당로,130.0,,1144012000103470021024741,기린빌딩,서울특별시 마포구 어울마당로 130,121837,4053,,3,,126.924502352231,37.5558043432705
315156,MA010120220809236024,뷰티하우스느루,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101680007,1,대지,168,7.0,서울특별시 마포구 동교동 168-7,114404139424,서울특별시 마포구 양화로18안길,15.0,,1144012100101680007021949,빌딩Y15,서울특별시 마포구 양화로18안길 15,121818,4051,,5,,126.925380695288,37.5569025983176
